"","x"
"1","GCG"
"2","TTR"
"3","CHGB"
"4","TM4SF4"
"5","SCG5"
"6","INS"
"7","CHGA"
"8","SERPINA1"
"9","GC"
"10","PCSK2"
"11","GPX3"
"12","SCG2"
"13","PTPRN"
"14","CRYBA2"
"15","PCSK1N"
"16","G6PC2"
"17","SCGN"
"18","SERPINA3"
"19","SLC30A8"
"20","CPE"
"21","LCN2"
"22","SCG3"
"23","LOXL4"
"24","C10orf10"
"25","SPP1"
"26","KIAA1324"
"27","ABCC8"
"28","SST"
"29","TMEM176B"
"30","REG1A"
"31","MAFB"
"32","PPY"
"33","ENPP2"
"34","CFB"
"35","KRT7"
"36","RBP4"
"37","TACSTD2"
"38","TMEM176A"
"39","CD44"
"40","KRT19"
"41","BEX1"
"42","NEUROD1"
"43","IAPP"
"44","SERPING1"
"45","PEMT"
"46","PAX6"
"47","SPINK1"
"48","OLFM4"
"49","SLC7A8"
"50","RGS4"
"51","ERO1LB"
"52","RAB3B"
"53","CD74"
"54","TSPAN7"
"55","GDF15"
"56","QPCT"
"57","PAM"
"58","ANXA4"
"59","CFTR"
"60","SOX4"
"61","MMP7"
"62","IFITM3"
"63","IGFBP7"
"64","SMIM24"
"65","GPX2"
"66","UCHL1"
"67","CD24"
"68","VGF"
"69","SLC22A17"
"70","PRSS1"
"71","FXYD5"
"72","SERPINA5"
"73","ZFP36L1"
"74","IGFBP2"
"75","PLK2"
"76","C3"
"77","TM4SF1"
"78","CLU"
"79","PARM1"
"80","PIGR"
"81","ALDH1A1"
"82","HADH"
"83","TSPAN8"
"84","RASD1"
"85","REG3A"
"86","CLDN4"
"87","CTSH"
"88","CTRB2"
"89","SLC7A2"
"90","PRSS8"
"91","CLDN1"
"92","GSN"
"93","F10"
"94","SAT1"
"95","ANXA2"
"96","ELF3"
"97","REG1B"
"98","PDK4"
"99","SERINC2"
"100","APLP1"
"101","MAP1B"
"102","SDC4"
"103","IL32"
"104","PRSS3"
"105","PTPRN2"
"106","MUC13"
"107","LGALS3"
"108","CDKN1A"
"109","FXYD6"
"110","AQP1"
"111","FAP"
"112","FXYD3"
"113","STMN2"
"114","TIMP1"
"115","ISL1"
"116","DUOX2"
"117","FOS"
"118","SCD"
"119","RHOC"
"120","PCSK1"
"121","CLDN10"
"122","ANPEP"
"123","AMBP"
"124","PPP1R1A"
"125","EGR1"
"126","AKR1C3"
"127","AGT"
"128","CTRB1"
"129","HEPACAM2"
"130","CPB1"
"131","TNFRSF12A"
"132","KIAA1244"
"133","GAD2"
"134","SNAP25"
"135","CPA2"
"136","DDIT4"
"137","PRSS3P2"
"138","RNASE1"
"139","PRSS23"
"140","DHRS3"
"141","ID1"
"142","KCNK16"
"143","PNLIP"
"144","S100A10"
"145","MUC1"
"146","CRP"
"147","MEG3"
"148","SLC4A4"
"149","HLA-E"
"150","CPA1"
"151","VIM"
"152","GATM"
"153","WFS1"
"154","LYZ"
"155","LGALS4"
"156","TUBA1A"
"157","SCGB2A1"
"158","ASPH"
"159","CDC42EP1"
"160","NPTX2"
"161","GSTP1"
"162","S100A11"
"163","KIF1A"
"164","GSTA1"
"165","ENO2"
"166","CCL2"
"167","TINAGL1"
"168","ALDH1A3"
"169","PFN2"
"170","TXNIP"
"171","QDPR"
"172","TPM1"
"173","PLCE1"
"174","LDHB"
"175","LITAF"
"176","PDLIM3"
"177","LDHA"
"178","GLS"
"179","CD9"
"180","PAPSS2"
"181","ATP2A3"
"182","CEACAM7"
"183","PDZK1IP1"
"184","DUSP1"
"185","UBD"
"186","LAD1"
"187","IFITM2"
"188","PPAP2C"
"189","SLC3A1"
"190","SLC38A4"
"191","SERPINE2"
"192","PMEPA1"
"193","INSIG1"
"194","STX1A"
"195","PEG10"
"196","SPINT2"
"197","CELA3A"
"198","ID3"
"199","HPN"
"200","DEFB1"
"201","GPRC5B"
"202","CTRC"
"203","TGM2"
"204","MIR7-3HG"
"205","COL18A1"
"206","DLK1"
"207","STXBP1"
"208","CRH"
"209","RAMP1"
"210","PDK3"
"211","COTL1"
"212","CNTN1"
"213","UCP2"
"214","CALD1"
"215","GNG4"
"216","PDX1"
"217","BACE2"
"218","IDH2"
"219","ADH1C"
"220","PNLIPRP2"
"221","DUOXA2"
"222","S100A6"
"223","TMOD1"
"224","ANXA3"
"225","MT2A"
"226","SCD5"
"227","FAM159B"
"228","NEAT1"
"229","FLNA"
"230","RBP1"
"231","TMEM37"
"232","TUBA4A"
"233","ID2"
"234","NUPR1"
"235","CRIP2"
"236","MT1G"
"237","TPD52"
"238","RFX6"
"239","HSPB8"
"240","LGALS1"
"241","ELMO1"
"242","TMSB4X"
"243","CNN3"
"244","PALLD"
"245","INA"
"246","STMN1"
"247","IGFBP3"
"248","FLRT2"
"249","KRT23"
"250","EPCAM"
"251","TMSB10"
"252","GNAS"
"253","CLDN2"
"254","DHRS2"
"255","ABCC3"
"256","MGST1"
"257","TSPAN15"
"258","ATP6V0E2"
"259","TUSC3"
"260","TSPAN1"
"261","CFI"
"262","DPP6"
"263","HSD17B2"
"264","SYT13"
"265","NNMT"
"266","FEV"
"267","LAMB3"
"268","CASR"
"269","CPLX2"
"270","RARRES2"
"271","FDFT1"
"272","SSTR2"
"273","PPT1"
"274","LGALS3BP"
"275","C15orf48"
"276","CYBA"
"277","SLC44A4"
"278","VTCN1"
"279","C1S"
"280","EFNA1"
"281","MUC20"
"282","SLPI"
"283","ALB"
"284","HLA-DRA"
"285","PNLIPRP1"
"286","C12orf75"
"287","SYNE2"
"288","CALY"
"289","ALDOB"
"290","TRPV6"
"291","PHGDH"
"292","FSTL1"
"293","EZR"
"294","SLC3A2"
"295","IER3"
"296","CYR61"
"297","DUSP26"
"298","MYL12A"
"299","CLPS"
"300","SLC29A4"
"301","ARX"
"302","ANGPTL4"
"303","KRT8"
"304","SLC38A1"
"305","THBS1"
"306","EDN3"
"307","ATP6V1B2"
"308","ANXA2P2"
"309","SLC40A1"
"310","SERPINA4"
"311","NAA20"
"312","GLB1"
"313","TMED3"
"314","TNFSF10"
"315","KRT18"
"316","SEC11C"
"317","PLA2G1B"
"318","SORL1"
"319","PAPPA2"
"320","CYP1A1"
"321","SEZ6L"
"322","CEACAM6"
"323","SERPINA6"
"324","S100A16"
"325","DSP"
"326","CELA2A"
"327","SPTBN1"
"328","ITM2C"
"329","SPINT1"
"330","PPL"
"331","PTP4A3"
"332","CKB"
"333","XBP1"
"334","GCH1"
"335","AKR1B10"
"336","MSN"
"337","TPPP3"
"338","SLC44A2"
"339","TMEM45B"
"340","GNAI1"
"341","PCP4"
"342","GCNT3"
"343","KCTD12"
"344","PPIC"
"345","DHCR24"
"346","PLIN2"
"347","IDI1"
"348","SPARC"
"349","CLDN7"
"350","GPR56"
"351","QSOX1"
"352","NPNT"
"353","CXCL6"
"354","RGS2"
"355","CECR1"
"356","GSTA2"
"357","IFI30"
"358","HSPB1"
"359","HERPUD1"
"360","AQP3"
"361","SLC29A1"
"362","CCND1"
"363","CTGF"
"364","COL4A2"
"365","SEL1L3"
"366","ACLY"
"367","KCNMB2"
"368","FILIP1L"
"369","RAB26"
"370","ARRDC4"
"371","GLUL"
"372","C1orf127"
"373","NFKBIA"
"374","SURF4"
"375","PFKFB2"
"376","KLF5"
"377","SH3GL2"
"378","SPTSSB"
"379","CXCL17"
"380","DHCR7"
"381","SOD2"
"382","IRX2"
"383","COL1A1"
"384","DHRS7"
"385","TSPO"
"386","LOC728392"
"387","SMOC1"
"388","CAV2"
"389","CYP3A5"
"390","C1QL1"
"391","TMBIM1"
"392","CD200"
"393","SDC1"
"394","CD99L2"
"395","PDLIM1"
"396","GAS6"
"397","JUP"
"398","CTSB"
"399","SLC9A3R1"
"400","USP11"
"401","TNFRSF21"
"402","MAGED1"
"403","PIGT"
"404","NDRG2"
"405","ERP27"
"406","DUSP4"
"407","NEURL1"
"408","TNFAIP2"
"409","BTG2"
"410","LAPTM4B"
"411","ENC1"
"412","CLMN"
"413","USH1C"
"414","KLHL41"
"415","BEX2"
"416","SDC2"
"417","TFPI2"
"418","RIN2"
"419","ACTG1"
"420","CELA3B"
"421","RAP1GAP"
"422","ELL2"
"423","IER2"
"424","CD82"
"425","EGFL7"
"426","LGALS2"
"427","ELOVL1"
"428","DAZAP2"
"429","ICAM1"
"430","NUCB2"
"431","FSTL3"
"432","PROM1"
"433","CADM1"
"434","IDS"
"435","LY6E"
"436","PLCXD3"
"437","ATP6AP2"
"438","NPDC1"
"439","CADPS"
"440","NEURL3"
"441","PRDX4"
"442","FN1"
"443","RDH11"
"444","MAN1A1"
"445","CDKN2B"
"446","TMC5"
"447","TMEM59L"
"448","TRIB3"
"449","CXCL2"
"450","MDK"
"451","APCS"
"452","SCNN1A"
"453","ATP6AP1"
"454","P4HTM"
"455","BAIAP3"
"456","CDH1"
"457","HSD17B14"
"458","TIMP2"
"459","NFKBIZ"
"460","SPATS2L"
"461","COL1A2"
"462","UGT2B15"
"463","INSR"
"464","VWA5B2"
"465","CHID1"
"466","DDR1"
"467","REG3G"
"468","STOM"
"469","TPP1"
"470","EHF"
"471","CRYAB"
"472","NPY"
"473","LDLR"
"474","WARS"
"475","CXCL16"
"476","AKR1C1"
"477","WLS"
"478","DDOST"
"479","CAPN2"
"480","JUNB"
"481","CREB5"
"482","CLDN3"
"483","CA12"
"484","TSC22D1"
"485","MSMO1"
"486","VCAM1"
"487","ALDH3A2"
"488","MYH9"
"489","LAMC2"
"490","CXCL8"
"491","MARS"
"492","FAM3B"
"493","MLXIPL"
"494","C1R"
"495","AGPAT2"
"496","BCAT1"
"497","SCTR"
"498","GP2"
"499","WWTR1"
"500","KCNK3"
"501","SGK1"
"502","NR0B1"
"503","HSPA5"
"504","PCLO"
"505","MARCKSL1"
"506","UCA1"
"507","ABLIM1"
"508","PLEKHB1"
"509","LAMB2"
"510","MVP"
"511","FUCA1"
"512","COL3A1"
"513","HHEX"
"514","HEXA"
"515","CHAC1"
"516","DPP4"
"517","NGFRAP1"
"518","NEU1"
"519","RAB11FIP1"
"520","YBX3"
"521","ONECUT2"
"522","NQO1"
"523","PERP"
"524","SSR2"
"525","DST"
"526","ATP1B1"
"527","APBB1"
"528","NRP1"
"529","ZFP36"
"530","HLA-DRB1"
"531","CAPG"
"532","CTSS"
"533","HEXB"
"534","CTNNA1"
"535","NFIB"
"536","GJB1"
"537","ANXA1"
"538","APOH"
"539","RPN2"
"540","CXCL1"
"541","RBPMS"
"542","RCAN1"
"543","LIMCH1"
"544","TAGLN2"
"545","ERBB3"
"546","IGFBP4"
"547","TFPI"
"548","NR5A2"
"549","PHLDA1"
"550","CD81"
"551","ISYNA1"
"552","LBH"
"553","KLF6"
"554","ZYX"
"555","CTSA"
"556","APLP2"
"557","VWA5A"
"558","ENO1"
"559","HLA-B"
"560","S100A14"
"561","PLIN3"
"562","DPYSL2"
"563","P4HA2"
"564","HABP2"
"565","FGFR1"
"566","APMAP"
"567","TUBB"
"568","RHBDD2"
"569","EBP"
"570","SARS"
"571","ANO6"
"572","KCNQ1OT1"
"573","TGIF1"
"574","HNF1B"
"575","TSPAN6"
"576","TUBB6"
"577","ABHD4"
"578","CMTM7"
"579","KCNH6"
"580","FCGRT"
"581","KCNJ8"
"582","C14orf132"
"583","NR0B2"
"584","ESYT1"
"585","BHLHE40"
"586","SPOCK3"
"587","CX3CL1"
"588","SPON2"
"589","NOTCH2"
"590","TMEM97"
"591","SPRYD3"
"592","PTP4A1"
"593","WNT4"
"594","SLC43A3"
"595","CSRP1"
"596","ADAMTSL2"
"597","TMEM106C"
"598","CREB3L1"
"599","PNMA2"
"600","HOPX"
"601","SQSTM1"
"602","LDLRAP1"
"603","CDC42EP3"
"604","NINJ1"
"605","ZBTB20"
"606","RTN1"
"607","GPR119"
"608","AKR1A1"
"609","CTSL"
"610","PFKP"
"611","DPEP1"
"612","TMPRSS2"
"613","GABRB3"
"614","GRIA3"
"615","UQCRC1"
"616","CTSD"
"617","TC2N"
"618","SMARCA1"
"619","AMPD2"
"620","PSMB5"
"621","KRT80"
"622","EDN1"
"623","BEX4"
"624","TIMP3"
"625","TNS1"
"626","TMEM9"
"627","MPV17"
"628","PYCR1"
"629","PNMA1"
"630","CA2"
"631","ST14"
"632","NDRG4"
"633","SH3BP4"
"634","ASNS"
"635","NPC1L1"
"636","ADCYAP1"
"637","C8orf4"
"638","HIF1A"
"639","SORBS2"
"640","SYT4"
"641","SH3BGRL3"
"642","CAMK2B"
"643","ITGB6"
"644","MUC3A"
"645","GNG2"
"646","RCN3"
"647","BGN"
"648","PTPRF"
"649","GADD45G"
"650","ARL6IP1"
"651","TCN1"
"652","SLC1A5"
"653","VAMP8"
"654","MT1H"
"655","TPGS2"
"656","HIST2H2BE"
"657","COPB2"
"658","TGFBI"
"659","CTSC"
"660","FAM102A"
"661","ERP29"
"662","PFKFB3"
"663","MS4A8"
"664","IMPA2"
"665","CEL"
"666","UNC5B"
"667","DAB2"
"668","MTUS1"
"669","VCP"
"670","GOLM1"
"671","F11R"
"672","PKIB"
"673","JUN"
"674","DNAJC12"
"675","FKBP11"
"676","PTPLAD1"
"677","TTC39A"
"678","HN1"
"679","SERPINH1"
"680","GEM"
"681","PRR15L"
"682","TOMM34"
"683","RAP1GAP2"
"684","COL4A1"
"685","SYNDIG1"
"686","LGMN"
"687","PRUNE2"
"688","MAP1A"
"689","CXADR"
"690","SLC43A1"
"691","GHITM"
"692","C1orf116"
"693","FXYD2"
"694","CTTN"
"695","FHL1"
"696","CCND3"
"697","ATP1A1"
"698","LRG1"
"699","CNDP2"
"700","FAM174B"
"701","ALDH9A1"
"702","RTCB"
"703","CBS"
"704","LTBP1"
"705","FBP1"
"706","SLC5A1"
"707","CRMP1"
"708","ADM"
"709","KCNIP1"
"710","HKDC1"
"711","MAGED2"
"712","PDIA2"
"713","GARS"
"714","ERGIC3"
"715","GGT1"
"716","ANXA6"
"717","SEMA3B"
"718","EGFEM1P"
"719","TMEM63A"
"720","GGT6"
"721","TSC22D3"
"722","ACTN1"
"723","FAM105A"
"724","CTSE"
"725","VNN1"
"726","EDIL3"
"727","SDCBP"
"728","PRDX1"
"729","SFRP5"
"730","TMEM54"
"731","TRIM47"
"732","TPST2"
"733","AKAP12"
"734","RPN1"
"735","MAOB"
"736","SMAD3"
"737","CALCOCO2"
"738","SLC37A4"
"739","HDLBP"
"740","ANXA9"
"741","ENTPD3"
"742","MPC2"
"743","ZC3H12A"
"744","HES1"
"745","ATP6V0D1"
"746","PDGFD"
"747","SERPINI1"
"748","AP1M2"
"749","LRPAP1"
"750","PDLIM7"
"751","EIF3D"
"752","ANXA5"
"753","EPS8"
"754","GCK"
"755","TUBA1B"
"756","HLA-DMA"
"757","AACS"
"758","EHD2"
"759","SYCN"
"760","ITGA5"
"761","VTN"
"762","MLLT11"
"763","CLIC1"
"764","GPC5-AS1"
"765","SOD3"
"766","APCDD1"
"767","GRN"
"768","LAMP2"
"769","BMP5"
"770","TBCC"
"771","MDH1"
"772","C19orf10"
"773","SOX9"
"774","C4BPA"
"775","WFDC2"
"776","PLAUR"
"777","SLC35A4"
"778","CCT3"
"779","WDR1"
"780","ANAPC13"
"781","PLAU"
"782","PTPRK"
"783","HGD"
"784","MT1X"
"785","KDELR3"
"786","ATF3"
"787","ARF4"
"788","FAM46C"
"789","CREB3L2"
"790","PLD3"
"791","COX7A1"
"792","ANXA7"
"793","KIAA1522"
"794","ANKH"
"795","EIF6"
"796","FTL"
"797","KCNK17"
"798","VKORC1"
"799","CYB5A"
"800","ALCAM"
"801","C2CD4B"
"802","NEDD9"
"803","C16orf45"
"804","PLOD3"
"805","DIRAS3"
"806","ETV1"
"807","CSF1"
"808","PCDH17"
"809","ITPR3"
"810","ACTB"
"811","BIRC3"
"812","C1orf43"
"813","TRIP6"
"814","PDP1"
"815","REEP5"
"816","PTPRT"
"817","IFI6"
"818","PSAT1"
"819","TGFBR3"
"820","EIF4EBP1"
"821","PLXNB2"
"822","SLC39A1"
"823","TCTA"
"824","HTRA1"
"825","WSCD2"
"826","SELM"
"827","ADCY1"
"828","RGS16"
"829","FLNB"
"830","P2RX4"
"831","TXNRD1"
"832","AOX1"
"833","PPP2R2B"
"834","SYNGR4"
"835","PIK3AP1"
"836","TUBB4B"
"837","GYPC"
"838","FMOD"
"839","SFRP2"
"840","RNASE4"
"841","COL6A3"
"842","TERF2IP"
"843","REST"
"844","ARL6IP5"
"845","PLS3"
"846","CIB1"
"847","FAM46A"
"848","CD46"
"849","SYNGR2"
"850","LSAMP"
"851","TSPAN2"
"852","NGRN"
"853","MOB1B"
"854","LEPR"
"855","CASP4"
"856","CCT2"
"857","SYT7"
"858","LGALS9"
"859","C1QTNF5+MFRP"
"860","MALAT1"
"861","TCIRG1"
"862","SIL1"
"863","ILF2"
"864","UGDH"
"865","MYH10"
"866","P4HB"
"867","CHPF"
"868","ERLEC1"
"869","GORASP2"
"870","PSMB8"
"871","TP53I11"
"872","STC2"
"873","GBP3"
"874","MCAM"
"875","OGT"
"876","PDIA6"
"877","INSM1"
"878","TFG"
"879","CNN2"
"880","FADS2"
"881","GMNN"
"882","FGL1"
"883","NR4A1"
"884","CAPNS1"
"885","ETS2"
"886","PGK1"
"887","PON3"
"888","RGS9"
"889","ANXA11"
"890","PNP"
"891","NTN4"
"892","SOCS1"
"893","ECH1"
"894","TM7SF2"
"895","KLK1"
"896","SERPINE1"
"897","HLA-A"
"898","FAM84A"
"899","CYSTM1"
"900","MYC"
"901","C10orf54"
"902","SLC2A1"
"903","NDN"
"904","GPD1"
"905","CD14"
"906","SCARB2"
"907","GLG1"
"908","LRP10"
"909","MTHFD2"
"910","FGF19"
"911","SLC25A5"
"912","TSPAN3"
"913","HNRNPF"
"914","LSS"
"915","PVRL4"
"916","GGA2"
"917","RAB11A"
"918","CA4"
"919","RGS3"
"920","SSX2IP"
"921","TAF7"
"922","SERINC3"
"923","ILK"
"924","TSPAN13"
"925","OS9"
"926","QPRT"
"927","UBE2L6"
"928","KDELR2"
"929","HPS1"
"930","AARS"
"931","TNFRSF10B"
"932","FLOT2"
"933","ZKSCAN1"
"934","ASAH1"
"935","PPP1R1B"
"936","F2RL1"
"937","IGSF1"
"938","PXDN"
"939","LAMA5"
"940","ENG"
"941","NCSTN"
"942","PGR"
"943","KCNK5"
"944","AKAP7"
"945","VASN"
"946","YARS"
"947","PPIF"
"948","NAV1"
"949","ALDH2"
"950","HSD3B7"
"951","MT1E"
"952","SLC25A3"
"953","NTRK2"
"954","VNN2"
"955","RIMBP2"
"956","KCNJ6"
"957","C6"
"958","SYT8"
"959","PIK3IP1"
"960","C14orf1"
"961","SERPINB2"
"962","MET"
"963","SIGMAR1"
"964","TMC6"
"965","IQGAP2"
"966","CACFD1"
"967","UGT2A3"
"968","NDUFS2"
"969","CD36"
"970","TMEM98"
"971","TMED6"
"972","OSMR"
"973","ABHD14B"
"974","CNIH2"
"975","TM9SF1"
"976","H1F0"
"977","HSPA8"
"978","SPNS2"
"979","CITED4"
"980","GPI"
"981","ARHGAP18"
"982","COA3"
"983","KCNQ1"
"984","CD47"
"985","UACA"
"986","FHL2"
"987","ERICH5"
"988","COPS6"
"989","RASGRF1"
"990","C6orf222"
"991","FAM167A"
"992","RAB25"
"993","PCMT1"
"994","ALDOC"
"995","CDCP1"
"996","FGFR4"
"997","SEMA6A"
"998","SPOCK1"
"999","ATP6V0A1"
"1000","PRG4"
"1001","SQLE"
"1002","SLC35B2"
"1003","FNDC4"
"1004","RBBP7"
"1005","PPP1R15A"
"1006","TUNAR"
"1007","PLP2"
"1008","CD59"
"1009","CYYR1"
"1010","BCL3"
"1011","ITGB4"
"1012","SERPINA10"
"1013","MYL12B"
"1014","LUM"
"1015","STT3A"
"1016","PDGFRB"
"1017","SYT11"
"1018","ACAT1"
"1019","ATP5B"
"1020","NCALD"
"1021","SYT5"
"1022","VIL1"
"1023","IGFBPL1"
"1024","FLRT3"
"1025","HK1"
"1026","KLHDC8A"
"1027","FUT3"
"1028","HLA-C"
"1029","COL6A2"
"1030","ITGB1"
"1031","ADAM9"
"1032","LLGL2"
"1033","IVNS1ABP"
"1034","SSTR1"
"1035","POPDC3"
"1036","DSG2"
"1037","SLC7A5"
"1038","PCK2"
"1039","MGLL"
"1040","ACADVL"
"1041","AGTRAP"
"1042","ARRDC3"
"1043","SHMT2"
"1044","GPSM1"
"1045","JAK1"
"1046","LMCD1"
"1047","CPM"
"1048","SEC23B"
"1049","HEYL"
"1050","POR"
"1051","MMP2"
"1052","TMEM86B"
"1053","THSD7A"
"1054","GNG11"
"1055","GPNMB"
"1056","EPHX2"
"1057","TMED2"
"1058","A2M"
"1059","CEBPD"
"1060","RASEF"
"1061","VDAC3"
"1062","CDH6"
"1063","FSTL5"
"1064","PODXL2"
"1065","RASSF7"
"1066","SPHK1"
"1067","PRKAR1A"
"1068","REEP6"
"1069","HSP90B1"
"1070","CAPN6"
"1071","YWHAH"
"1072","MYD88"
"1073","SUSD4"
"1074","VWA1"
"1075","NDRG1"
"1076","TMED10"
"1077","MPP2"
"1078","TM9SF2"
"1079","TFRC"
"1080","FFAR4"
"1081","NFASC"
"1082","EHD4"
"1083","SLC34A2"
"1084","C1orf198"
"1085","DKK3"
"1086","CCT5"
"1087","TESC"
"1088","CCDC86"
"1089","CCT7"
"1090","NFE2L2"
"1091","STC1"
"1092","ATXN10"
"1093","PYROXD2"
"1094","KCNMA1"
"1095","IDH3B"
"1096","DNAJB9"
"1097","CUTA"
"1098","RTN4"
"1099","FKBP2"
"1100","SSR1"
"1101","GAA"
"1102","SLC25A1"
"1103","CLTC"
"1104","SCN1B"
"1105","C19orf48"
"1106","SEC13"
"1107","ATRAID"
"1108","PTRF"
"1109","TMEM147"
"1110","SNX17"
"1111","SERINC1"
"1112","NEK6"
"1113","PPP2CA"
"1114","MAP4"
"1115","PDLIM4"
"1116","KRT17"
"1117","SOAT1"
"1118","PRAF2"
"1119","ODC1"
"1120","TPM4"
"1121","PDCD4"
"1122","FBXW5"
"1123","CPQ"
"1124","ZFAND5"
"1125","PRNP"
"1126","SEC31A"
"1127","APOBEC2"
"1128","EIF3I"
"1129","SLC25A4"
"1130","MORF4L2"
"1131","GPRC5A"
"1132","CA9"
"1133","RSU1"
"1134","NHP2L1"
"1135","RND3"
"1136","MISP"
"1137","ARPC1B"
"1138","PLLP"
"1139","TUBB3"
"1140","RAB31"
"1141","RRAGA"
"1142","YIPF3"
"1143","TMEM125"
"1144","A1CF"
"1145","LOC101928100"
"1146","VAT1"
"1147","PLOD1"
"1148","MSRB1"
"1149","GPR64"
"1150","HYAL1"
"1151","FADS1"
"1152","CNP"
"1153","TCEA3"
"1154","CAPN5"
"1155","ABHD3"
"1156","EFEMP2"
"1157","AZGP1"
"1158","ATP10B"
"1159","AKR1C2"
"1160","LURAP1L"
"1161","FAM134B"
"1162","SAMD11"
"1163","SF3B1"
"1164","PIGS"
"1165","CHI3L1"
"1166","GRSF1"
"1167","CYC1"
"1168","UQCRC2"
"1169","MLIP"
"1170","HMGCS2"
"1171","MRFAP1"
"1172","ARG2"
"1173","POLDIP2"
"1174","CYP1B1"
"1175","PTTG1IP"
"1176","TSKU"
"1177","CDS2"
"1178","CCND2"
"1179","KIF12"
"1180","RHOV"
"1181","EPRS"
"1182","TMEM66"
"1183","COL6A1"
"1184","PDLIM2"
"1185","SLC38A10"
"1186","ACAA1"
"1187","ST6GAL1"
"1188","CAPN1"
"1189","MAFA"
"1190","HLA-DRB5"
"1191","MMP11"
"1192","TPD52L1"
"1193","FAM129A"
"1194","LOC389332"
"1195","MPP1"
"1196","ITGA2"
"1197","CSDE1"
"1198","AP2M1"
"1199","CYP27A1"
"1200","KRTCAP3"
"1201","DNAJB1"
"1202","CCDC47"
"1203","B3GNT7"
"1204","PLTP"
"1205","SEPT2"
"1206","KLHDC3"
"1207","B2M"
"1208","DDC"
"1209","HMGCLL1"
"1210","LAPTM4A"
"1211","CCKBR"
"1212","TCEAL2"
"1213","ARPC2"
"1214","FTH1"
"1215","ADRA2A"
"1216","F3"
"1217","LMO1"
"1218","DUSP6"
"1219","CDC42EP2"
"1220","TAGLN3"
"1221","GNS"
"1222","CERCAM"
"1223","RXRG"
"1224","HIPK2"
"1225","MECOM"
"1226","MATN2"
"1227","KIAA1377"
"1228","PDIA4"
"1229","CD320"
"1230","TMX4"
"1231","COL9A2"
"1232","CAMK2N1"
"1233","DDIT3"
"1234","MXRA5"
"1235","ST6GALNAC2"
"1236","PHIP"
"1237","CRELD1"
"1238","IRF1"
"1239","PLEKHB2"
"1240","GPM6A"
"1241","ALG3"
"1242","GPER1"
"1243","SELENBP1"
"1244","RHOD"
"1245","ANAPC5"
"1246","CLIC4"
"1247","C2CD4A"
"1248","ARL4D"
"1249","AHNAK"
"1250","PSMB1"
"1251","OAF"
"1252","ZFP36L2"
"1253","PDE3B"
"1254","SLC12A2"
"1255","COMT"
"1256","IGFBP5"
"1257","TMEM50A"
"1258","NMNAT2"
"1259","TNFAIP1"
"1260","CHP1"
"1261","BLVRB"
"1262","PPP2R1A"
"1263","PLA2G4C"
"1264","PIEZO1"
"1265","RHOB"
"1266","ERBB2"
"1267","IFIT3"
"1268","B3GNT3"
"1269","SERPINB6"
"1270","HADHB"
"1271","EIF4G2"
"1272","OCIAD2"
"1273","EID1"
"1274","HES4"
"1275","RORC"
"1276","PON2"
"1277","LMAN2"
"1278","SLC35G2"
"1279","SLC30A2"
"1280","IMPDH2"
"1281","EPHB2"
"1282","TRAP1"
"1283","PEF1"
"1284","PIPOX"
"1285","DCN"
"1286","GADD45B"
"1287","TPBG"
"1288","HMOX1"
"1289","MRAP2"
"1290","SLC25A39"
"1291","ATP6V1D"
"1292","GJA1"
"1293","CDH3"
"1294","KIAA0319"
"1295","PQLC3"
"1296","XRCC5"
"1297","REEP2"
"1298","FAM32A"
"1299","EIF4A2"
"1300","MARCH3"
"1301","INHBA"
"1302","AMOTL1"
"1303","IFIT2"
"1304","ST8SIA3"
"1305","AMOTL2"
"1306","CD164"
"1307","HNMT"
"1308","BTG1"
"1309","KCNA5"
"1310","WSB1"
"1311","SSR4"
"1312","ATP5G3"
"1313","MMP1"
"1314","PROCR"
"1315","GSTA4"
"1316","HCP5"
"1317","NRBP1"
"1318","H19"
"1319","LGI3"
"1320","CASP7"
"1321","CDR2L"
"1322","SLC25A34"
"1323","SLFN5"
"1324","PDHB"
"1325","MTCH2"
"1326","CHN1"
"1327","SLC6A4"
"1328","EFEMP1"
"1329","ALPK3"
"1330","MDH2"
"1331","TRAM1"
"1332","PPP1R3C"
"1333","TRO"
"1334","GBP2"
"1335","MAPRE1"
"1336","AHCYL1"
"1337","TES"
"1338","PREX1"
"1339","PRUNE"
"1340","SERP1"
"1341","TRIM22"
"1342","FKBP10"
"1343","SCAMP5"
"1344","KLF10"
"1345","TST"
"1346","UNC13A"
"1347","SERPINF1"
"1348","ROBO2"
"1349","SEC61A1"
"1350","UBR4"
"1351","DBN1"
"1352","PSMA1"
"1353","TMEM130"
"1354","CNIH3"
"1355","ABHD15"
"1356","EPAS1"
"1357","REC8"
"1358","UNC5CL"
"1359","POLR2A"
"1360","HSPA9"
"1361","PGM1"
"1362","PPAP2B"
"1363","GCNT1"
"1364","ACSL1"
"1365","SRM"
"1366","GNB2L1"
"1367","LIPH"
"1368","ARPC5"
"1369","TSG101"
"1370","COPS7A"
"1371","LDOC1"
"1372","TAPBPL"
"1373","MID1"
"1374","CNRIP1"
"1375","TKT"
"1376","GSS"
"1377","PRDX3"
"1378","THY1"
"1379","CNPY2"
"1380","CISH"
"1381","NDUFA9"
"1382","GOT1"
"1383","NCF2"
"1384","MBOAT4"
