x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385
LYZ,1,191,1,1,0,1,1,61,0,30,0,1,0,2,54,1,1,1,0,0,45,1,1,7,0,0,63,52,1,0,3,150,2,0,0,27,0,1,2,2,2,8,2,1,0,0,44,1,0,1,0,0,1,74,0,1,2,58,0,93,2,1,3,1,1,1,0,2,0,1,2,0,4,53,0,0,94,1,0,48,0,65,1,2,93,0,30,0,0,0,1,1,53,1,0,1,41,3,0,0,1,0,221,46,1,3,2,0,0,0,2,0,0,1,148,0,0,1,1,77,0,0,43,1,48,1,23,0,0,3,46,0,0,1,2,6,33,0,84,0,36,1,25,0,1,0,2,2,2,158,0,2,0,38,0,0,2,2,3,1,0,98,0,0,4,0,0,44,56,26,1,60,46,0,0,1,58,0,110,1,0,1,59,0,2,38,0,70,88,0,1,1,41,0,0,74,1,1,0,1,52,116,48,3,0,4,2,28,0,0,1,1,0,0,0,1,0,26,0,1,0,2,52,7,49,2,0,1,1,2,142,8,1,0,2,1,48,0,0,68,1,58,0,0,1,2,51,57,1,1,2,1,0,0,0,0,0,0,2,0,0,70,6,0,56,84,1,95,1,0,0,66,1,0,3,0,37,1,0,37,2,0,30,1,0,1,0,0,0,1,0,0,75,1,0,2,0,1,0,1,0,38,60,0,1,3,1,0,36,1,1,1,1,55,1,0,105,0,2,0,2,1,0,40,1,5,12,0,1,26,0,38,2,1,0,1,2,1,45,94,94,9,2,169,0,0,0,1,62,1,0,1,8,1,91,0,1,0,93,0,2,20,1,0,1,1,51,1,0,1,2,61,37,3,0,1,2,13,57,0,0,1,2,0
S100A9,2,79,0,2,1,0,1,18,1,3,1,0,2,0,14,3,0,2,1,1,10,0,0,3,2,1,40,146,1,0,0,141,0,0,3,59,2,2,0,2,0,20,1,0,4,0,94,1,3,1,2,0,2,162,0,1,0,32,0,58,0,2,1,1,2,2,0,1,1,1,0,1,1,25,0,0,108,0,1,74,2,135,1,0,0,0,11,0,1,0,1,1,74,1,0,0,57,5,1,0,0,0,30,68,1,0,0,0,1,1,0,3,0,3,279,1,0,0,0,48,0,2,52,1,74,0,4,1,1,1,37,1,1,1,0,1,10,0,172,2,39,1,17,0,0,0,1,0,3,9,0,1,1,4,2,1,3,0,2,2,0,4,0,1,1,0,2,8,12,41,0,28,14,1,0,0,47,0,140,1,2,1,68,2,1,57,1,25,72,1,0,0,122,1,0,72,1,1,0,0,25,167,26,3,0,2,1,20,0,0,0,1,1,1,0,0,1,29,1,0,0,2,102,13,20,2,1,0,2,0,9,8,0,3,0,3,38,0,0,28,1,32,0,2,0,2,2,82,0,0,2,2,1,0,2,1,0,1,1,0,0,49,13,1,44,104,1,134,0,1,1,81,1,0,0,0,63,0,0,52,2,1,50,2,4,0,0,0,0,1,1,0,30,0,2,0,0,2,1,1,0,82,92,0,0,1,0,1,22,0,0,3,0,5,2,1,48,0,1,1,1,2,1,21,2,8,14,1,2,29,1,69,0,1,0,3,1,1,23,36,108,5,1,223,2,1,0,0,47,3,1,2,8,2,28,0,0,0,82,1,2,31,0,0,2,2,68,1,0,0,2,42,58,5,1,0,0,16,88,0,0,1,3,2
S100A8,1,50,1,2,0,2,1,17,0,1,2,1,0,1,14,0,3,2,1,0,10,0,0,3,1,0,25,93,1,0,2,103,1,0,0,46,0,1,1,1,1,9,0,0,0,3,114,0,0,1,0,0,2,144,1,0,3,18,2,40,1,0,2,1,0,1,0,3,0,1,0,1,3,22,0,0,99,3,1,55,2,140,0,3,1,0,9,0,0,0,2,1,55,0,0,1,74,2,1,0,0,2,12,54,1,1,1,1,1,1,0,2,1,3,193,0,0,1,1,17,0,2,32,2,55,0,10,0,0,0,30,0,0,2,0,2,1,1,136,0,40,3,17,0,0,1,0,1,3,2,0,3,0,2,0,2,0,0,3,2,1,4,0,0,1,1,1,15,12,62,1,30,1,1,1,0,33,1,103,0,0,0,33,0,1,39,0,7,56,1,0,0,126,0,0,77,0,1,1,2,13,134,11,2,2,0,2,25,0,1,1,2,2,0,0,0,0,30,1,0,3,0,86,16,14,1,0,0,1,0,10,2,2,0,0,0,60,0,2,34,0,18,0,0,0,0,1,69,0,0,2,1,0,1,0,1,0,1,1,0,2,30,1,1,55,52,2,112,0,2,0,62,0,2,2,2,54,0,1,47,1,0,72,1,1,0,0,1,0,2,0,0,22,0,1,0,0,0,0,0,1,63,104,0,2,2,0,0,17,2,1,2,0,4,0,0,34,0,0,0,0,0,1,28,2,3,3,0,1,30,0,44,0,0,0,2,1,2,18,16,99,2,1,129,0,0,0,1,35,1,2,0,7,1,16,0,0,0,48,0,2,57,0,0,0,1,33,4,0,0,0,48,28,2,1,1,1,0,83,2,0,1,1,0
HLA.DRA,1,118,2,1,0,1,2,110,1,50,0,0,1,4,15,1,1,0,1,0,20,1,27,49,4,18,31,9,17,2,2,15,1,0,0,7,1,0,2,1,1,38,1,1,0,1,1,0,1,1,1,17,1,11,1,1,1,42,0,34,20,0,0,0,0,27,0,1,0,1,1,23,8,18,0,0,29,0,40,8,26,9,0,1,61,0,29,0,1,2,2,0,7,15,0,1,4,0,1,0,1,7,125,18,3,3,19,0,12,0,0,0,0,0,3,0,12,0,2,67,12,2,19,1,8,19,18,0,2,37,18,0,28,12,0,17,83,1,16,20,2,0,6,1,1,0,1,0,0,218,1,0,1,25,1,1,17,0,0,1,1,169,1,13,1,0,4,17,5,7,15,32,28,0,0,0,11,0,12,0,0,0,12,0,2,21,3,113,16,2,0,0,8,13,0,19,1,0,0,0,46,14,7,32,17,0,0,9,33,14,1,0,17,26,0,23,23,5,0,1,1,30,4,2,14,0,14,1,31,30,60,5,1,2,22,2,12,20,0,15,1,42,0,0,1,1,73,4,1,1,1,0,20,1,0,38,1,14,0,0,0,25,24,1,9,6,0,11,11,1,0,8,0,1,0,0,10,1,1,5,0,17,6,21,0,0,3,0,1,0,0,0,31,0,0,0,0,1,0,0,1,9,15,1,0,1,23,1,21,0,0,0,1,214,2,6,13,17,0,0,0,27,1,7,0,21,13,15,1,5,0,4,0,1,4,0,1,0,17,48,29,22,1,28,1,0,1,36,5,1,15,1,5,2,98,19,0,4,15,31,3,12,1,0,1,21,15,26,0,1,0,5,1,1,20,0,20,23,16,0,1,1,2,1
CD74,3,111,8,3,7,1,8,143,2,43,2,2,1,5,11,5,3,8,0,0,16,1,39,161,1,43,58,6,47,4,7,18,2,1,3,7,4,5,3,1,2,60,1,1,3,2,8,2,2,4,4,44,2,24,3,2,2,32,0,25,49,7,1,2,2,53,0,3,3,4,2,37,21,12,1,0,30,3,74,5,47,25,2,2,199,4,10,5,3,4,3,4,2,41,0,4,2,3,0,4,3,14,116,12,1,5,50,2,30,1,0,1,1,4,9,3,43,0,3,129,23,1,51,2,5,54,43,2,2,41,16,3,48,38,3,53,68,1,14,81,3,4,8,2,1,1,2,2,3,340,5,0,3,23,1,4,64,1,2,5,0,318,1,48,6,2,8,18,2,1,49,5,49,5,0,0,11,5,25,2,1,4,10,2,1,21,7,118,21,6,0,0,10,48,0,7,6,2,0,2,35,15,3,61,44,2,1,4,50,32,1,2,40,35,1,45,42,1,3,2,2,103,7,8,30,0,31,0,59,42,88,19,4,2,67,4,15,49,2,20,1,32,1,1,5,1,127,5,0,1,9,4,35,3,3,83,2,11,3,0,0,29,28,1,8,9,4,10,37,2,2,11,0,1,1,0,8,3,4,1,0,23,4,45,2,1,1,1,2,4,2,1,49,6,4,1,1,4,0,3,4,3,4,0,4,5,56,1,7,1,16,1,1,280,5,20,7,35,4,1,1,63,2,13,4,27,29,34,8,1,2,6,3,4,11,2,1,3,15,58,30,32,0,75,2,3,1,42,1,1,44,5,1,1,176,40,0,11,4,50,10,5,2,4,10,45,15,72,4,1,1,3,3,3,38,0,64,69,7,0,0,5,4,3
CST3,1,57,0,1,0,2,2,51,2,48,0,2,1,0,14,1,2,1,0,0,21,1,0,5,0,0,36,6,1,1,0,25,0,1,1,6,0,0,0,0,0,26,0,0,0,0,11,1,2,1,0,0,1,29,0,0,0,17,0,16,0,0,0,1,0,1,1,1,2,0,2,0,20,14,0,0,39,0,2,8,1,11,1,0,73,0,16,0,0,1,2,1,15,2,0,1,7,0,2,0,0,0,74,23,1,1,0,0,0,1,1,0,2,0,21,1,0,1,1,41,0,0,27,0,8,0,15,0,0,0,11,0,0,0,0,14,43,1,29,26,6,0,7,1,0,1,2,0,0,138,0,0,1,27,0,0,0,2,2,0,0,97,1,2,1,0,1,13,5,9,1,13,20,0,2,0,10,1,18,0,2,1,18,0,0,22,0,67,19,0,0,0,12,2,0,18,0,0,2,0,16,23,14,1,1,1,0,13,0,0,0,1,0,1,0,0,0,5,0,1,1,11,9,8,15,1,0,0,0,0,45,27,0,1,1,1,17,0,1,14,0,17,0,2,3,0,33,10,1,0,1,0,1,0,0,3,1,0,0,0,0,24,15,0,20,10,1,21,0,0,1,17,3,1,2,0,11,1,1,5,1,1,6,1,0,0,1,0,0,1,0,0,35,2,1,0,0,0,0,0,0,8,18,0,1,0,1,0,11,1,0,1,0,213,0,0,20,0,2,1,0,0,0,11,0,10,19,0,2,5,1,13,1,1,0,1,0,0,26,47,39,23,0,17,0,1,0,3,12,0,2,1,3,0,54,2,1,0,12,1,0,15,0,1,0,1,15,18,2,1,3,8,6,1,0,1,1,35,19,0,0,2,1,0
TYROBP,0,24,2,1,7,2,0,16,1,20,1,0,0,0,22,1,1,0,0,0,15,7,1,5,0,0,9,12,0,0,15,28,7,0,0,12,1,0,0,2,0,30,0,1,0,0,9,0,0,0,1,0,0,11,0,0,0,28,0,19,0,8,0,0,6,0,0,0,0,0,0,1,25,11,0,0,11,0,0,21,1,14,0,0,0,0,25,1,1,0,1,0,8,0,0,1,18,0,2,0,0,0,19,19,0,1,0,0,0,0,0,1,0,0,15,0,1,0,6,17,0,0,27,0,21,0,8,1,0,0,19,2,1,0,0,12,1,0,19,15,6,2,15,1,0,3,0,0,0,24,0,6,0,11,0,0,0,0,0,0,4,2,0,0,1,0,0,7,9,9,1,10,21,6,0,0,15,0,12,1,0,2,22,0,1,18,0,13,16,0,1,0,14,0,0,16,1,0,0,0,18,20,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,5,11,6,15,0,0,0,2,0,21,24,2,1,0,1,16,0,0,19,2,28,0,0,0,0,9,17,1,1,12,0,1,1,1,0,1,0,0,1,0,16,14,0,18,16,1,24,0,0,1,12,0,0,0,1,17,5,1,6,0,0,14,1,0,1,0,0,1,0,0,0,30,0,0,0,0,1,0,0,4,9,14,0,0,0,0,0,11,0,0,0,1,9,0,1,8,0,1,0,1,1,0,13,0,19,17,0,0,9,1,14,0,2,0,0,0,0,9,29,11,23,0,41,1,1,6,0,8,1,0,0,2,0,11,0,0,0,14,0,9,11,1,0,0,1,23,7,0,0,0,11,12,0,1,0,0,33,21,0,0,0,0,0
S100A4,4,47,6,0,7,5,7,18,2,24,1,5,4,3,11,20,14,6,0,6,40,2,1,6,17,1,37,13,0,4,5,33,12,1,1,18,10,6,3,1,1,58,2,1,5,2,11,1,3,20,10,0,7,60,7,8,2,16,2,18,0,13,0,0,15,0,5,0,6,2,0,3,71,10,0,1,31,5,14,9,1,17,1,2,0,2,46,8,3,4,17,5,11,0,0,0,17,3,2,1,7,1,45,26,16,1,2,7,0,0,1,3,1,1,36,3,1,0,1,52,0,0,28,0,9,1,23,1,1,1,28,0,0,2,6,32,23,11,28,11,10,5,15,0,1,0,5,17,2,33,1,8,0,14,0,11,5,1,0,10,4,45,3,0,15,1,18,8,8,17,1,11,8,5,1,7,17,7,32,2,2,1,17,1,3,26,6,83,17,12,0,8,24,0,0,24,16,0,1,3,16,23,10,1,1,1,0,15,6,2,31,0,1,1,0,0,1,14,1,2,8,3,11,15,24,13,2,7,1,0,39,59,8,3,1,3,25,0,0,26,5,16,9,3,2,0,15,14,2,1,1,4,0,1,0,6,3,5,7,1,4,24,23,9,13,28,15,25,0,12,2,32,1,4,2,5,13,5,27,7,13,0,26,1,1,7,1,1,0,0,2,2,23,4,6,8,9,11,1,4,1,11,17,0,12,3,0,1,8,0,8,4,1,20,1,0,25,0,12,11,8,2,3,11,3,29,76,2,15,14,1,20,11,3,0,15,6,1,23,42,31,29,3,29,3,1,18,6,23,1,3,6,13,2,77,0,0,2,27,0,1,11,25,18,0,1,26,6,11,2,3,17,20,0,0,0,0,53,18,1,1,5,0,9
NA.,0,1,0,1,0,0,0,41,1,0,0,0,0,1,1,0,0,0,0,0,0,0,33,4,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,55,0,1,0,0,46,0,1,0,1,0,43,0,0,2,0,0,0,104,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,1,0,1,0,53,0,0,0,0,0,0,1,1,0,22,1,2,0,17,0,2,0,0,51,19,0,1,43,0,0,0,30,0,0,0,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,50,3,0,0,0,19,1,0,0,37,1,0,0,0,0,0,0,0,13,0,0,0,0,31,0,0,25,2,0,0,1,0,0,0,43,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0,0,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,2,0,0,0,0,0,0,0,16,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,9,2,0,0,0,0,4,0,0,0,0,1,18,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,33,0,0,1,62,0,0,0,0,0,0,2,31,0,0,0,31,0,0,0,0,0,14,0,10,0,0,0,1,0,2,0,1,54,0,0,0,0,0,0,0
FTL,5,89,20,3,8,13,5,119,5,129,11,9,6,27,66,8,12,5,0,6,100,7,10,28,7,4,48,40,8,9,10,123,6,2,5,61,9,22,7,11,8,113,4,7,9,9,67,8,8,4,9,10,15,110,5,6,10,87,2,122,5,5,9,12,5,5,2,3,11,11,9,6,216,57,13,7,63,7,20,72,9,82,8,10,32,6,81,15,8,9,14,13,37,8,4,10,49,10,5,13,4,2,50,73,6,6,9,13,8,1,8,7,2,13,114,4,8,3,5,48,5,8,109,2,72,12,91,10,6,8,72,5,6,7,8,122,31,6,104,8,46,9,54,6,8,3,2,3,11,41,7,5,3,65,4,9,9,3,15,7,9,45,9,4,10,10,20,42,74,27,4,54,172,6,4,8,72,8,92,6,3,6,127,2,11,104,9,33,88,7,0,3,61,4,3,76,6,9,4,6,102,81,23,11,9,5,9,42,14,4,9,6,8,8,5,11,2,24,5,5,10,7,66,44,67,11,3,6,6,12,85,97,7,6,14,9,94,8,1,100,10,87,1,10,11,5,10,56,9,7,2,11,4,0,2,6,5,6,8,9,2,89,84,9,68,60,2,101,7,12,5,80,6,8,4,3,43,3,2,40,11,6,38,10,0,9,3,7,5,4,3,2,114,7,4,3,1,11,0,9,15,39,67,2,7,7,9,3,50,3,7,6,7,36,5,2,72,3,8,15,13,27,7,50,11,132,126,3,11,24,12,55,1,5,6,5,5,3,84,101,63,105,9,122,3,10,9,5,49,12,22,5,41,3,39,7,3,1,92,7,10,56,9,5,1,10,97,19,6,2,5,39,53,5,8,3,3,380,76,9,8,6,7,9
