x1,x2
7,1
357,2
270,3
169,4
196,5
114,6
439,7
38,8
212,9
115,10
26,11
332,12
736,13
462,14
538,15
37,16
461,17
256,18
141,19
46,20
405,21
192,22
86,23
151,24
100,25
507,26
222,27
82,28
555,29
633,30
290,31
319,32
683,33
750,34
422,35
217,36
106,37
8,38
363,39
299,40
166,41
188,42
574,43
406,44
517,45
545,46
641,47
221,48
613,49
588,50
327,51
727,52
430,53
651,54
374,55
32,56
607,57
447,58
355,59
551,60
9,61
381,62
148,63
92,64
640,65
175,66
282,67
662,68
40,69
414,70
102,71
167,72
337,73
762,74
619,75
261,76
323,77
326,78
251,79
342,80
33,81
295,82
397,83
652,84
692,85
698,86
643,87
107,88
271,89
705,90
396,91
161,92
242,93
718,94
458,95
131,96
620,97
709,98
25,99
585,100
518,101
586,102
112,103
126,104
301,105
660,106
146,107
558,108
68,109
360,110
378,111
298,112
214,113
201,114
233,115
441,116
321,117
87,118
739,119
135,120
168,121
634,122
716,123
523,124
369,125
601,126
734,127
150,128
713,129
205,130
635,131
132,132
459,133
339,134
215,135
370,136
738,137
139,138
728,139
752,140
419,141
724,142
749,143
684,144
320,145
399,146
744,147
225,148
548,149
62,150
333,151
15,152
246,153
676,154
505,155
329,156
59,157
47,158
180,159
506,160
351,161
672,162
437,163
260,164
497,165
741,166
344,167
388,168
519,169
220,170
556,171
418,172
598,173
19,174
686,175
597,176
699,177
637,178
350,179
95,180
451,181
81,182
313,183
580,184
93,185
761,186
479,187
723,188
88,189
735,190
717,191
485,192
324,193
489,194
685,195
195,196
366,197
608,198
416,199
730,200
12,201
390,202
642,203
178,204
198,205
254,206
398,207
4,208
122,209
164,210
560,211
293,212
187,213
753,214
435,215
533,216
465,217
616,218
130,219
127,220
371,221
267,222
391,223
411,224
383,225
427,226
763,227
171,228
478,229
565,230
226,231
158,232
303,233
654,234
532,235
394,236
653,237
335,238
524,239
569,240
707,241
562,242
502,243
583,244
386,245
767,246
632,247
309,248
289,249
693,250
202,251
43,252
626,253
154,254
334,255
474,256
407,257
255,258
191,259
460,260
666,261
385,262
408,263
97,264
162,265
44,266
589,267
476,268
57,269
49,270
550,271
512,272
758,273
156,274
481,275
284,276
243,277
3,278
315,279
263,280
308,281
715,282
13,283
223,284
501,285
639,286
649,287
48,288
673,289
720,290
423,291
746,292
499,293
559,294
733,295
722,296
179,297
618,298
410,299
5,300
445,301
766,302
147,303
764,304
691,305
494,306
341,307
