x1,x2
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
12,12
19,13
22,14
23,15
25,16
26,17
27,18
29,19
30,20
34,21
37,22
38,23
40,24
41,25
43,26
44,27
46,28
47,29
49,30
51,31
52,32
53,33
54,34
57,35
58,36
61,37
62,38
63,39
64,40
65,41
66,42
69,43
70,44
71,45
72,46
74,47
75,48
76,49
77,50
79,51
80,52
84,53
87,54
91,55
93,56
95,57
96,58
100,59
101,60
103,61
104,62
105,63
108,64
109,65
112,66
116,67
118,68
119,69
120,70
121,71
122,72
123,73
124,74
125,75
126,76
129,77
130,78
133,79
134,80
139,81
142,82
143,83
144,84
145,85
146,86
147,87
148,88
149,89
151,90
152,91
154,92
155,93
156,94
157,95
161,96
162,97
163,98
164,99
167,100
168,101
169,102
170,103
171,104
172,105
173,106
175,107
176,108
181,109
182,110
183,111
185,112
186,113
189,114
191,115
192,116
193,117
197,118
198,119
200,120
202,121
203,122
204,123
205,124
206,125
207,126
208,127
210,128
212,129
214,130
215,131
217,132
218,133
219,134
220,135
221,136
223,137
224,138
226,139
229,140
232,141
233,142
236,143
237,144
239,145
241,146
242,147
243,148
244,149
245,150
246,151
250,152
251,153
252,154
253,155
255,156
256,157
259,158
260,159
263,160
264,161
266,162
267,163
268,164
269,165
270,166
272,167
278,168
280,169
281,170
282,171
284,172
286,173
287,174
288,175
289,176
291,177
292,178
293,179
295,180
296,181
298,182
299,183
301,184
302,185
303,186
305,187
307,188
308,189
309,190
312,191
314,192
317,193
318,194
319,195
322,196
323,197
325,198
328,199
329,200
330,201
333,202
334,203
336,204
337,205
338,206
339,207
340,208
341,209
344,210
345,211
348,212
349,213
350,214
351,215
352,216
353,217
357,218
359,219
360,220
361,221
362,222
363,223
364,224
365,225
366,226
369,227
372,228
374,229
375,230
376,231
379,232
380,233
381,234
382,235
383,236
385,237
386,238
387,239
388,240
389,241
392,242
393,243
394,244
397,245
399,246
400,247
401,248
402,249
404,250
407,251
408,252
409,253
410,254
412,255
413,256
415,257
416,258
417,259
419,260
421,261
423,262
424,263
425,264
427,265
428,266
429,267
431,268
433,269
434,270
435,271
436,272
437,273
438,274
440,275
444,276
446,277
453,278
454,279
458,280
460,281
461,282
464,283
466,284
467,285
469,286
470,287
471,288
473,289
475,290
479,291
482,292
484,293
485,294
488,295
490,296
491,297
496,298
497,299
498,300
499,301
501,302
502,303
504,304
505,305
508,306
509,307
510,308
511,309
512,310
513,311
514,312
515,313
516,314
517,315
519,316
520,317
522,318
523,319
524,320
525,321
527,322
530,323
531,324
533,325
534,326
535,327
536,328
538,329
539,330
540,331
541,332
542,333
543,334
545,335
549,336
553,337
555,338
556,339
557,340
558,341
559,342
562,343
568,344
569,345
571,346
572,347
573,348
575,349
577,350
578,351
579,352
580,353
581,354
583,355
584,356
585,357
587,358
588,359
589,360
590,361
593,362
597,363
598,364
601,365
602,366
603,367
606,368
607,369
609,370
610,371
612,372
614,373
618,374
620,375
621,376
623,377
625,378
626,379
627,380
631,381
638,382
639,383
640,384
642,385
643,386
644,387
645,388
649,389
651,390
653,391
656,392
657,393
658,394
659,395
660,396
662,397
663,398
664,399
666,400
668,401
670,402
671,403
673,404
674,405
675,406
676,407
677,408
680,409
681,410
682,411
683,412
684,413
687,414
690,415
696,416
697,417
698,418
700,419
701,420
702,421
705,422
707,423
709,424
710,425
711,426
712,427
713,428
715,429
716,430
717,431
721,432
724,433
726,434
727,435
728,436
729,437
730,438
733,439
735,440
736,441
738,442
741,443
742,444
743,445
744,446
745,447
746,448
748,449
749,450
750,451
752,452
754,453
755,454
756,455
758,456
762,457
764,458
765,459
766,460
767,461
