x1,x2
6,1
2,2
6,3
6,4
5,5
6,6
6,7
6,8
6,9
6,10
6,11
2,12
6,13
6,14
6,15
6,16
2,17
2,18
6,19
6,20
9,21
8,22
6,23
8,24
2,25
5,26
2,27
6,28
6,29
3,30
6,31
6,32
6,33
6,34
6,35
6,36
2,37
5,38
6,39
6,40
6,41
2,42
6,43
2,44
6,45
6,46
1,47
6,48
2,49
2,50
2,51
6,52
6,53
6,54
6,55
6,56
2,57
6,58
6,59
6,60
6,61
6,62
6,63
6,64
2,65
6,66
6,67
6,68
6,69
5,70
6,71
6,72
2,73
6,74
8,75
6,76
8,77
6,78
2,79
6,80
5,81
6,82
6,83
6,84
6,85
6,86
2,87
6,88
8,89
1,90
2,91
6,92
6,93
2,94
6,95
3,96
6,97
8,98
6,99
6,100
6,101
6,102
6,103
6,104
6,105
6,106
9,107
6,108
6,109
2,110
6,111
5,112
6,113
6,114
6,115
6,116
6,117
6,118
6,119
6,120
9,121
6,122
6,123
5,124
6,125
6,126
8,127
2,128
6,129
5,130
6,131
6,132
6,133
2,134
6,135
2,136
2,137
2,138
6,139
6,140
6,141
6,142
6,143
6,144
2,145
1,146
6,147
6,148
6,149
6,150
6,151
6,152
6,153
6,154
6,155
6,156
6,157
6,158
6,159
6,160
6,161
2,162
6,163
6,164
2,165
6,166
2,167
5,168
8,169
6,170
6,171
6,172
6,173
1,174
8,175
2,176
6,177
6,178
5,179
6,180
6,181
6,182
6,183
6,184
6,185
6,186
6,187
5,188
6,189
6,190
6,191
6,192
6,193
6,194
8,195
6,196
6,197
6,198
6,199
6,200
6,201
6,202
6,203
6,204
6,205
6,206
2,207
6,208
5,209
5,210
6,211
5,212
6,213
2,214
5,215
2,216
6,217
6,218
6,219
5,220
5,221
8,222
6,223
6,224
6,225
8,226
6,227
5,228
2,229
6,230
6,231
6,232
6,233
6,234
6,235
6,236
6,237
2,238
6,239
6,240
6,241
6,242
4,243
6,244
6,245
6,246
6,247
6,248
6,249
8,250
6,251
1,252
6,253
5,254
2,255
6,256
2,257
6,258
6,259
6,260
2,261
6,262
6,263
6,264
5,265
2,266
2,267
6,268
6,269
6,270
1,271
6,272
6,273
6,274
6,275
6,276
6,277
6,278
6,279
6,280
2,281
6,282
2,283
6,284
2,285
6,286
8,287
6,288
2,289
2,290
6,291
6,292
6,293
6,294
2,295
6,296
2,297
6,298
2,299
6,300
8,301
9,302
6,303
5,304
6,305
5,306
6,307
2,308
9,309
6,310
6,311
6,312
6,313
6,314
6,315
6,316
5,317
3,318
5,319
6,320
6,321
6,322
5,323
5,324
2,325
6,326
5,327
6,328
6,329
5,330
2,331
4,332
6,333
6,334
6,335
6,336
6,337
2,338
6,339
6,340
6,341
6,342
6,343
6,344
2,345
6,346
6,347
6,348
6,349
6,350
6,351
6,352
6,353
6,354
6,355
6,356
6,357
6,358
2,359
6,360
5,361
6,362
6,363
6,364
6,365
2,366
6,367
6,368
6,369
8,370
5,371
2,372
2,373
6,374
6,375
6,376
6,377
6,378
6,379
5,380
6,381
6,382
6,383
5,384
6,385
6,386
6,387
6,388
5,389
6,390
6,391
6,392
6,393
6,394
6,395
2,396
6,397
6,398
6,399
6,400
6,401
6,402
6,403
6,404
2,405
2,406
2,407
9,408
2,409
4,410
2,411
6,412
6,413
3,414
6,415
6,416
6,417
6,418
2,419
6,420
6,421
6,422
6,423
6,424
6,425
2,426
6,427
2,428
6,429
6,430
5,431
6,432
6,433
2,434
2,435
6,436
6,437
5,438
6,439
6,440
2,441
6,442
6,443
6,444
6,445
6,446
6,447
6,448
2,449
6,450
6,451
6,452
6,453
5,454
2,455
6,456
3,457
6,458
2,459
6,460
8,461
6,462
2,463
6,464
2,465
6,466
6,467
6,468
6,469
6,470
2,471
2,472
8,473
5,474
2,475
6,476
6,477
2,478
6,479
6,480
6,481
5,482
6,483
6,484
6,485
6,486
1,487
6,488
6,489
6,490
8,491
6,492
6,493
2,494
6,495
6,496
6,497
2,498
6,499
6,500
6,501
6,502
2,503
6,504
2,505
6,506
5,507
6,508
6,509
6,510
2,511
6,512
6,513
4,514
6,515
2,516
2,517
6,518
6,519
2,520
2,521
2,522
6,523
6,524
6,525
2,526
6,527
6,528
2,529
6,530
6,531
6,532
6,533
6,534
6,535
6,536
2,537
6,538
6,539
6,540
5,541
6,542
6,543
6,544
6,545
2,546
6,547
6,548
2,549
2,550
2,551
1,552
8,553
6,554
6,555
6,556
6,557
1,558
8,559
2,560
6,561
6,562
2,563
6,564
6,565
6,566
6,567
6,568
6,569
6,570
6,571
5,572
6,573
6,574
6,575
6,576
6,577
2,578
2,579
6,580
6,581
5,582
6,583
6,584
6,585
5,586
6,587
6,588
6,589
6,590
2,591
6,592
5,593
5,594
6,595
5,596
6,597
2,598
6,599
2,600
6,601
6,602
2,603
1,604
5,605
8,606
6,607
6,608
6,609
8,610
2,611
5,612
6,613
6,614
6,615
6,616
6,617
6,618
6,619
6,620
6,621
2,622
6,623
6,624
6,625
6,626
6,627
2,628
6,629
6,630
2,631
6,632
6,633
9,634
6,635
5,636
6,637
5,638
2,639
6,640
6,641
6,642
6,643
6,644
6,645
6,646
6,647
6,648
3,649
6,650
2,651
6,652
6,653
6,654
5,655
6,656
6,657
6,658
6,659
6,660
6,661
6,662
6,663
6,664
2,665
6,666
2,667
6,668
2,669
6,670
3,671
6,672
2,673
2,674
5,675
6,676
6,677
6,678
6,679
6,680
2,681
1,682
2,683
6,684
5,685
5,686
6,687
5,688
2,689
5,690
6,691
6,692
8,693
6,694
6,695
6,696
6,697
6,698
6,699
6,700
8,701
3,702
6,703
6,704
5,705
6,706
5,707
6,708
2,709
6,710
5,711
6,712
6,713
5,714
2,715
5,716
6,717
6,718
6,719
6,720
6,721
2,722
6,723
6,724
6,725
6,726
6,727
2,728
2,729
6,730
6,731
5,732
6,733
6,734
6,735
6,736
6,737
6,738
7,739
6,740
6,741
6,742
9,743
6,744
6,745
6,746
4,747
6,748
6,749
2,750
6,751
6,752
6,753
2,754
5,755
2,756
2,757
6,758
5,759
6,760
6,761
6,762
6,763
1,764
6,765
6,766
6,767
6,768
6,769
6,770
6,771
6,772
5,773
6,774
6,775
6,776
6,777
6,778
6,779
2,780
6,781
6,782
6,783
6,784
6,785
2,786
6,787
6,788
8,789
2,790
2,791
8,792
2,793
6,794
2,795
6,796
6,797
3,798
6,799
6,800
6,801
6,802
2,803
6,804
6,805
6,806
6,807
6,808
6,809
2,810
6,811
6,812
6,813
6,814
5,815
6,816
2,817
2,818
2,819
6,820
6,821
5,822
6,823
6,824
9,825
6,826
6,827
6,828
6,829
6,830
6,831
6,832
2,833
6,834
6,835
6,836
6,837
1,838
2,839
6,840
3,841
6,842
2,843
6,844
8,845
6,846
2,847
6,848
2,849
6,850
6,851
6,852
6,853
6,854
2,855
6,856
8,857
5,858
2,859
6,860
6,861
2,862
6,863
3,864
6,865
5,866
6,867
6,868
6,869
2,870
5,871
6,872
6,873
6,874
8,875
6,876
2,877
2,878
6,879
6,880
6,881
6,882
6,883
6,884
6,885
6,886
2,887
6,888
8,889
6,890
6,891
5,892
6,893
6,894
8,895
5,896
6,897
5,898
2,899
2,900
6,901
2,902
6,903
2,904
2,905
2,906
6,907
6,908
6,909
6,910
6,911
6,912
6,913
6,914
6,915
6,916
6,917
6,918
6,919
6,920
2,921
6,922
6,923
6,924
5,925
6,926
6,927
6,928
6,929
5,930
6,931
6,932
2,933
2,934
2,935
5,936
8,937
6,938
6,939
6,940
6,941
5,942
9,943
2,944
6,945
6,946
1,947
6,948
6,949
3,950
6,951
6,952
6,953
6,954
6,955
5,956
6,957
6,958
